Count,City,Club Name,Rating,Reviews,Closing Time,WeightedRating,,TIME_INTEGER,TIME_AVG,TopClubScore
9,Oklahoma City,Club Eden OKC,4.2,31,2:00 AM,6.263719114,,2,,
10,Oklahoma City,Romeo’s Castle Gentlemen’s Club,4.4,29,2:00 AM,6.434551191,,2,,
,,,,,,,,,,
1,Orlando,Le Palace,4.3,331,2:00 AM,10.83526037,4.093267799,2,2,15.12865196
2,Orlando,Thee Dollhouse Orlando,4.3,298,2:00 AM,10.63912994,,2,,
3,Orlando,Dancers Royale,4,175,2:00 AM,8.972152195,,2,,
4,Orlando,Rachel's Steakhouse Orlando,3.7,300,2:00 AM,9.165348642,,2,,
5,Orlando,Stars Men's Club,4.1,215,2:00 AM,9.562997686,,2,,
6,Orlando,Crazy Horse Gentlemen's Club,3.8,73,2:00 AM,7.080626868,,2,,
7,Orlando,Rachel's North Men's Club and Steakhouse,4.5,626,2:00 AM,12.5845845,,2,,
8,Orlando,Club 27 Cabaret,3.2,159,2:00 AM,7.044470798,,2,,
9,Orlando,Rock Hard Revue | #1 Male Revue in Orlando,4.9,607,2:00 AM,13.63762459,,2,,
10,Orlando,Diamond Club,3.9,118,2:00 AM,8.080339828,,2,,
11,Orlando,Cleo’s Gentlemen’s Club,3.4,102,2:00 AM,6.829240584,,2,,
12,Orlando,The Woodshed Orlando,4.7,147,2:00 AM,10.18639147,,2,,
13,Orlando,Silhouettes Gentlemen's Club,4.5,145,2:00 AM,9.72615601,,2,,
14,Orlando,Dancers Royale Cocoa Beach,4.3,66,2:00 AM,7.824038923,,2,,
15,Orlando,Secrets Hideaway Resort & Spa / Club Secret,4.4,1700,2:00 AM,14.21397525,,2,,
16,Orlando,Mons Venus World Famous Nude Strip Club Tampa,3.8,294,2:00 AM,9.379719856,,2,,
17,Orlando,Mango's - Orlando,4.2,4000,2:00 AM,15.12865196,,2,,
18,Orlando,Tier Nightclub,3.1,286,2:00 AM,7.614734703,,2,,
19,Orlando,Cheaters Cabaret,3.7,112,2:00 AM,7.582106684,,2,,
20,Orlando,Cherry Bomb Burlesque Show Orlando,4.8,34,2:00 AM,7.351098802,,2,,
,,,,,,,,,,
1,Philadelphia,Sin City Cabaret Nightclub,4.1,266,2:00 AM,9.94201471,3.709205949,2,2.3125,10.69495674
2,Philadelphia,Club Risque,3.6,234,4:00 AM,8.529177087,,4,,
3,Philadelphia,Gold Club,3,112,5:00 AM,6.147654068,,5,,
4,Philadelphia,Delilah's,3,178,2:00 AM,6.751260007,,2,,
5,Philadelphia,Cheerleaders Philadelphia,3.5,144,2:00 AM,7.554268722,,2,,
6,Philadelphia,The Oasis,3.6,76,2:00 AM,6.770928932,,2,,
7,Philadelphia,Pleasure Garden Club,4.3,105,2:00 AM,8.691113986,,2,,
8,Philadelphia,Just Enuff Lounge,4.3,224,2:00 AM,10.10606648,,2,,
9,Philadelphia,Club Risque,3.7,78,2:00 AM,7.00075003,,2,,
10,Philadelphia,The Piccadilly Club,4.4,54,2:00 AM,7.622532543,,2,,
11,Philadelphia,Levels Gentlemen's Club,3.6,29,2:00 AM,5.264632792,,2,,
12,Philadelphia,Show & Tel,3.1,100,2:00 AM,6.2,,2,,
13,Philadelphia,Roar Nightclub,4.1,406,2:00 AM,10.69495674,,2,,
14,Philadelphia,19th Hole Lounge,3.4,40,2:00 AM,5.447003971,,2,,
15,Philadelphia,Purple Orchid,2.9,47,2:00 AM,4.849083788,,2,,
16,Philadelphia,Treasures,4.4,131,2:00 AM,9.315993701,,2,,
,,,,,,,,,,
1,Phoenix,Cheetahs Gentlemen's Club,4.6,436,4:00 AM,12.14163785,3.560803105,4,2.775,12.3275746
2,Phoenix,Jaguars Phoenix,4.3,736,5:00 AM,12.3275746,,5,,
3,Phoenix,Crazy Girls Cabaret,4.2,82,4:00 AM,8.03801818,,4,,
4,Phoenix,Blue Moon Gentlemen's Club,3.6,103,6:00 AM,7.246214009,,6,,
5,Phoenix,Le Girls Gentlemen's Club,3.3,260,4:00 AM,7.969412048,,4,,
6,Phoenix,Bourbon Street,3.8,113,4:00 AM,7.801698085,,4,,
7,Phoenix,ESSEX Gentlemen's Club,3.3,79,2:30 AM,6.262169401,,2.5,,
8,Phoenix,Hi Liter Club,3.5,172,2:00 AM,7.824349564,,2,,
9,Phoenix,The Great Alaskan Bush Co,3.5,259,2:00 AM,8.446549174,,2,,
10,Phoenix,Sugar 44,3.5,106,2:00 AM,7.088570528,,2,,
11,Phoenix,Bliss Showclub,3.2,61,2:00 AM,5.713055472,,2,,
12,Phoenix,Dirty's Topless Sports Bar & Grill,4,309,2:00 AM,9.959833918,,2,,
13,Phoenix,Dream Palace,2,322,2:00 AM,5.015711743,,2,,
14,Phoenix,Christie's Cabaret Tempe,3.6,212,2:00 AM,8.374809099,,2,,
15,Phoenix,T & A Cabaret,2.8,90,2:00 AM,5.471879026,,2,,
16,Phoenix,Chicas Cabaret,3.4,100,2:00 AM,6.8,,2,,
17,Phoenix,Bandaids Showlounge,3.8,101,2:00 AM,7.61642122,,2,,
18,Phoenix,The Candy Store,3.6,155,2:00 AM,7.885194113,,2,,
19,Phoenix,Sonny's Gentlemen's Club,3.5,129,2:00 AM,7.387063986,,2,,
20,Phoenix,Xplicit Showclub,3.4,230,2:00 AM,8.029874642,,2,,
,,,,,,,,,,
1,Portland,Golden Dragon Exotic Club,4.3,615,6:00 AM,11.992163,3.951542734,6,3.025,12.18245605
2,Portland,Club Detour,4.4,47,6:00 AM,7.357230575,,6,,
3,Portland,Lucky Devil Lounge,4.1,134,6:00 AM,8.721129673,,6,,
4,Portland,Sylvia's Playhouse (Adult Entertainment Club ),4,67,2:30 AM,7.304299211,,2.5,,
5,Portland,Mary's Club,3.8,159,2:30 AM,8.365309072,,2.5,,
6,Portland,Spyce Gentlemen's Club,3.7,124,2:30 AM,7.745660235,,2.5,,
7,Portland,Club Rouge Portland,3.7,176,2:30 AM,8.308396871,,2.5,,
8,Portland,Diamonds Gentlemen's Club,4.4,48,2:30 AM,7.397461444,,2.5,,
9,Portland,Devils Point,4.1,118,2:30 AM,8.49471623,,2.5,,
10,Portland,The Lounge,3.9,33,2:30 AM,5.922204366,,2.5,,
11,Portland,Guilty Pleasures Gentleman's Club,3.7,46,2:30 AM,6.152203977,,2.5,,
12,Portland,Union Jacks Club,3.7,112,2:30 AM,7.582106684,,2.5,,
13,Portland,Casa Diablo Vegan Strip Club,3.8,176,2:30 AM,8.532948138,,2.5,,
14,Portland,Kasa Nightclub Portland,4.6,445,2:30 AM,12.18245605,,2.5,,
15,Portland,Club 205,3.3,103,2:30 AM,6.642362842,,2.5,,
16,Portland,Hawthorne Strip,3.3,57,2:30 AM,5.794387024,,2.5,,
17,Portland,X Exotic Lounge,4,48,2:30 AM,6.72496495,,2.5,,
18,Portland,Sassy's,3.7,141,2:30 AM,7.952110717,,2.5,,
19,Portland,Sanctuary Club,4.6,206,2:30 AM,10.64378921,,2.5,,
20,Portland,Columbia Strip,3.5,38,2:30 AM,5.529242588,,2.5,,
,,,,,,,,,,
1,Sacramento,Babes Showgirls Sacramento Strip Club,3.7,192,2:00 AM,8.448214546,3.950139755,2,3.529411765,10.71885153
2,Sacramento,Gold Club Centerfolds Sacramento Strip Club,3.9,45,2:00 AM,6.447528804,,2,,
3,Sacramento,HQ Gentlemen's Club & Bar,4,54,1:30 AM,6.929575039,,1.5,,
4,Sacramento,Pure Gold Showgirls & Adult Store,3.3,87,2:30 AM,6.400413534,,2.5,,
5,Sacramento,Sac Buddies,4.3,18,4:00 AM,5.397671772,,4,,
6,Sacramento,Showtymes Entertainment,4.9,154,4:00 AM,10.71885153,,4,,
7,Sacramento,Club Fantasy,3.1,56,4:00 AM,5.419382884,,4,,
8,Sacramento,All-Star American Centerfolds,4.6,23,4:00 AM,6.263948046,,4,,
9,Sacramento,La Pantera Club De Sacramento,4.1,44,4:00 AM,6.738155974,,4,,
10,Sacramento,Mango's Sacramento,3.6,419,4:00 AM,9.439970483,,4,,
11,Sacramento,Exotic Dancers,3,2,4:00 AM,0.903089987,,4,,
12,Sacramento,The Press Club,4.2,339,4:00 AM,10.62683873,,4,,
13,Sacramento,Kiss N Tell,4.4,43,4:00 AM,7.187261205,,4,,
14,Sacramento,851 Richards 5 star Club,3.8,4,4:00 AM,2.287827967,,4,,
15,Sacramento,Faces Nightclub,3.4,442,4:00 AM,8.994435716,,4,,
16,Sacramento,The Empire Strips Back: A Burlesque Parody - Sacramento,5,50,4:00 AM,8.494850022,,4,,
17,Sacramento,G-Spot,3.6,125,4:00 AM,7.548876047,,4,,
,,,,,,,,,,
1,Salt Lake City,Exotic Kitty Gentleman's Club,4.1,364,2:00 AM,10.50051567,4.021781529,2,1.6,15.02588273
2,Salt Lake City,Southern X-Posure Downtown,4.6,304,2:00 AM,11.42121848,,2,,
3,Salt Lake City,Pinky's Cabaret,4.4,76,2:00 AM,8.275579806,,2,,
4,Salt Lake City,Duces Wild,4.4,48,2:00 AM,7.397461444,,2,,
5,Salt Lake City,Trails Gentlemen's Club,3.5,153,5:00 AM,7.646420008,,5,,
6,Salt Lake City,Molly's Gemini Room,4.6,77,5:00 AM,8.677857336,,5,,
7,Salt Lake City,The American Bush,3.6,100,1:00 AM,7.2,,1,,
8,Salt Lake City,La Rumba Night Club,3.5,100,1:00 AM,7,,1,,
9,Salt Lake City,Area 51,3.8,972,1:00 AM,11.35313181,,1,,
10,Salt Lake City,BP Strippers Salt Lake City Strippers,5,2,1:00 AM,1.505149978,,1,,
11,Salt Lake City,Gem Nightclub,3.7,70,1:00 AM,6.826862748,,1,,
12,Salt Lake City,Utah Doll House,2.4,21,1:00 AM,3.173326307,,1,,
13,Salt Lake City,Echo Nightclub,3.3,322,1:00 AM,8.275924377,,1,,
14,Salt Lake City,Mambo Nightclub SLC,4,21,1:00 AM,5.288877179,,1,,
15,Salt Lake City,Lake Effect,4.4,2600,1:00 AM,15.02588273,,1,,
16,Salt Lake City,Liquid Joe's,4,209,1:00 AM,9.280585144,,1,,
17,Salt Lake City,Muscle Men Male Strippers Revue,4.9,13,1:00 AM,5.458322426,,1,,
18,Salt Lake City,Why KiKi,4.3,706,1:00 AM,12.24986021,,1,,
19,Salt Lake City,Elixir Lounge,4.5,372,1:00 AM,11.56744323,,1,,
20,Salt Lake City,The Westerner,3.9,656,1:00 AM,10.98592497,,1,,
,,,,,,,,,,
1,San Antonio,Scarlett's Cabaret San Antonio,4.7,430,6:00 AM,12.37730174,3.835911663,6,2.263157895,12.37730174
2,San Antonio,Tiffany's Cabaret,4.1,417,12:00 AM,10.74255783,,0,,
3,San Antonio,Jaguars Club San Antonio,4.7,363,5:00 AM,12.03156114,,5,,
4,San Antonio,San Antonio Men's Club,3.8,115,2:00 AM,7.830651793,,2,,
5,San Antonio,Perfect 10 Mens Club,3.9,234,2:00 AM,9.239941844,,2,,
6,San Antonio,The Palace Men's Club,3.2,135,2:00 AM,6.817068059,,2,,
7,San Antonio,Sugar's,3,234,2:00 AM,7.107647572,,2,,
8,San Antonio,Capisce Gentlemen's Club,3.3,57,2:00 AM,5.794387024,,2,,
9,San Antonio,Club Eden San Antonio,4.4,50,2:00 AM,7.475468019,,2,,
10,San Antonio,Midnight Swim,4,815,2:00 AM,11.64463043,,2,,
11,San Antonio,Paradise gentleman,3,29,2:00 AM,4.387193994,,2,,
12,San Antonio,colette San Antonio,4.2,90,2:00 AM,8.20781854,,2,,
13,San Antonio,The Players Club,3.7,73,2:00 AM,6.894294582,,2,,
14,San Antonio,Coyote Ugly San Antonio,4,523,2:00 AM,10.87400676,,2,,
15,San Antonio,1902 Nightclub,3.5,325,2:00 AM,8.791591763,,2,,
16,San Antonio,Rainbow Lounge,3.3,40,2:00 AM,5.286797971,,2,,
17,San Antonio,Diamonds Showclub,3.1,93,2:00 AM,6.102297141,,2,,
18,San Antonio,Bonham Exchange,3.9,630,2:00 AM,10.91742814,,2,,
19,San Antonio,Cadillac Club,4.2,249,2:00 AM,10.06403726,,2,,
,,,,,,,,,,
1,San Francisco,Gold Club,3.3,154,5:00 AM,7.218818379,3.830005297,5,3.848484848,13.12404277
2,San Francisco,The Crazy Horse,3.7,112,5:00 AM,7.582106684,,5,,
3,San Francisco,Larry Flynt's Hustler Club,3.2,109,2:00 AM,6.519764793,,2,,
4,San Francisco,Condor Club,4,98,2:00 AM,7.964904303,,2,,
5,San Francisco,Deja Vu Centerfolds,3.8,110,1:00 AM,7.757292204,,1,,
6,San Francisco,New Century Theater,4.1,155,4:00 AM,8.980359962,,4,,
7,San Francisco,Garden of Eden,3.2,50,4:00 AM,5.436704014,,4,,
8,San Francisco,Power Exchange,3.5,171,4:00 AM,7.815486386,,4,,
9,San Francisco,EROS a Queer Sex Club,3.1,97,4:00 AM,6.158992376,,4,,
10,San Francisco,Make-Out Room,4.1,226,4:00 AM,9.651844601,,4,,
11,San Francisco,The Valencia Room,3.9,909,4:00 AM,11.53839914,,4,,
12,San Francisco,Vanity San Francisco,3.4,30,4:00 AM,5.022212266,,4,,
13,San Francisco,Twist,4.1,65,4:00 AM,7.432944762,,4,,
14,San Francisco,El Toro Night Club,4,87,4:00 AM,7.75807701,,4,,
15,San Francisco,The Empire Strips Back San Francisco: A Burlesque Parody,5,133,4:00 AM,10.6192582,,4,,
16,San Francisco,Hawthorn SF Nightclub and Lounge,4.2,462,4:00 AM,11.1914963,,4,,
17,San Francisco,The Pacific-Union Club,4.5,44,4:00 AM,7.395537044,,4,,
18,San Francisco,Folsom Gulch,3.8,45,4:00 AM,6.282207552,,4,,
19,San Francisco,Steven Sik’s Champagne Room,5,1,4:00 AM,0,,4,,
20,San Francisco,Pura Saturdays,3.8,611,4:00 AM,10.5869566,,4,,
21,San Francisco,Yolo Nightclub,2.6,109,4:00 AM,5.297308895,,4,,
22,San Francisco,Cat Club,4.5,825,4:00 AM,13.12404277,,4,,
23,San Francisco,Mr. S Leather,4.8,329,4:00 AM,12.08254031,,4,,
24,San Francisco,BuffBoyzz Gay Male Strip Club,3,10,4:00 AM,3,,4,,
25,San Francisco,Providence Night Club,3.6,425,4:00 AM,9.462200148,,4,,
26,San Francisco,The HA-RA Club,4.4,180,4:00 AM,9.923199022,,4,,
27,San Francisco,Eve Nightclub & Lounge,3,78,4:00 AM,5.676283808,,4,,
28,San Francisco,Club X,2.6,42,4:00 AM,4.220448155,,4,,
29,San Francisco,Hole In the Wall Saloon,4.5,82,4:00 AM,8.612162336,,4,,
30,San Francisco,Club Kristi,4.1,40,4:00 AM,6.568445964,,4,,
31,San Francisco,Club Malibu,3.7,64,4:00 AM,6.682865904,,4,,
32,San Francisco,City Nights,3.6,189,4:00 AM,8.195262495,,4,,
33,San Francisco,OMG,4.1,73,4:00 AM,7.639623726,,4,,
,,,,,,,,,,
1,Toronto,Filmores Gentlemen's Club,2.8,133,2:30 AM,5.946784595,3.55003259,2.5,2.075,13.46051734
2,Toronto,Klub Kave,4.7,251,3:00 AM,11.27846649,,3,,
3,Toronto,Club Paradise,3.5,82,2:00 AM,6.698348483,,2,,
4,Toronto,House Of Lancaster Two,3.7,142,2:00 AM,7.963466874,,2,,
5,Toronto,Brass Rail Tavern,3.1,157,2:00 AM,6.807288922,,2,,
6,Toronto,Club Zanzibar,2.4,395,2:00 AM,6.23183303,,2,,
7,Toronto,Pure Gold Gentlemen's Club,3.3,105,2:00 AM,6.669924687,,2,,
8,Toronto,Bovine Sex Club,4.5,980,2:00 AM,13.46051734,,2,,
9,Toronto,Club Pro,3.3,185,2:00 AM,7.481666704,,2,,
10,Toronto,Oasis Aqualounge,4,472,2:00 AM,10.69576799,,2,,
11,Toronto,Whiskey A Go-Go Strip Club & Adult Entertainment Venue,4.5,782,2:00 AM,13.01943039,,2,,
12,Toronto,New Locomotion,3.3,190,2:00 AM,7.519886883,,2,,
13,Toronto,Club M4,4.2,208,2:00 AM,9.735866007,,2,,
14,Toronto,Cafe Atlantis,3.1,197,2:00 AM,7.112845301,,2,,
15,Toronto,Sundowner,3.1,270,2:00 AM,7.537227669,,2,,
16,Toronto,Flash on Church,3.2,211,2:00 AM,7.437703857,,2,,
17,Toronto,Diamonds Cabaret,2.8,105,2:00 AM,5.659330037,,2,,
18,Toronto,Upper Brass,5,3,2:00 AM,2.385606274,,2,,
19,Toronto,FOXXES DEN MALE REVUE,3,67,2:00 AM,5.478224408,,2,,
20,Toronto,Pink Vault Adult Entertainment Vaughan,5,3,2:00 AM,2.385606274,,2,,
,,,,,,,,,,
1,"Washington, DC",The Mpire Gentlemen's Club,4.5,437,3:00 AM,11.88216647,3.839504263,3,3,14.95093604
2,"Washington, DC",Cloakroom Gentlemen's Club,4,202,3:00 AM,9.221405478,,3,,
3,"Washington, DC",Platinum DC Club,3.8,34,3:00 AM,5.819619885,,3,,
4,"Washington, DC",The Camelot Showbar Strip Club,3.4,181,3:00 AM,7.676107155,,3,,
5,"Washington, DC",The House Night Club,4.1,105,3:00 AM,8.286876126,,3,,
6,"Washington, DC",Good Guys Club,3.5,127,3:00 AM,7.363313023,,3,,
7,"Washington, DC",The Bodyshop Club,4.5,103,3:00 AM,9.057767511,,3,,
8,"Washington, DC",Mile High Club,3.6,46,3:00 AM,5.985928194,,3,,
9,"Washington, DC",Decades DC,4.4,2500,3:00 AM,14.95093604,,3,,
10,"Washington, DC",Archibald's Gentlemen's Club,3.1,112,3:00 AM,6.35257587,,3,,
11,"Washington, DC",Crystal City Restaurant - Gentleman's Club,3.6,179,3:00 AM,8.110270912,,3,,
12,"Washington, DC",MUSTANGS GENTLEMEN'S CLUB,4.2,117,3:00 AM,8.686380619,,3,,
13,"Washington, DC",Area Code Gentlemen's Club,3.6,37,3:00 AM,5.645526207,,3,,
14,"Washington, DC",PaperMoon Springfield,2.8,251,3:00 AM,6.71908642,,3,,
15,"Washington, DC",Hangar Club,3.8,453,3:00 AM,10.09317317,,3,,
16,"Washington, DC",Showcase Theater,4,84,3:00 AM,7.697117144,,3,,
17,"Washington, DC",Ebony Inn,3.4,61,3:00 AM,6.070121439,,3,,
18,"Washington, DC",Aqua,4.1,504,3:00 AM,11.0799652,,3,,
19,"Washington, DC",Privilege DC Nightclub & Live Performance Venue,3.8,152,3:00 AM,8.291005634,,3,,
20,"Washington, DC",PlayDC Lounge,4.1,46,3:00 AM,6.81730711,,3,,
